@RELATION degree
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE degree NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE visual NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE cross NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE correlation NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE diabetic NUMERIC
@ATTRIBUTE animals NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE correlated NUMERIC
@ATTRIBUTE medical NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE derived NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE fusion NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE proliferation NUMERIC
@ATTRIBUTE degrees NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE thyroid NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE inoculation NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE field NUMERIC
@ATTRIBUTE natal NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE mediated NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE tgf NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE fatigue NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE glial NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE plaque NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE demonstrated NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE dogs NUMERIC
@ATTRIBUTE against NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE distribution NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE inhibitors NUMERIC
@ATTRIBUTE met NUMERIC
@ATTRIBUTE damage NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE capillaries NUMERIC
@ATTRIBUTE hd NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE diabetes NUMERIC
@ATTRIBUTE clones NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE injury NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE linked NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE standard NUMERIC
@ATTRIBUTE cholesterol NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE anterior NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE fish NUMERIC
@ATTRIBUTE defect NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE biological NUMERIC
@ATTRIBUTE sslse NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE parameters NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE injection NUMERIC
@ATTRIBUTE gabab NUMERIC
@ATTRIBUTE various NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE resulted NUMERIC
@ATTRIBUTE component NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE endothelial NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9430554
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9300634
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9589168
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9582527
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9471823
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9449650
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9490920
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9416013
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9578822
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9396448
