@RELATION determination
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE dna NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE sequence NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE enzyme NUMERIC
@ATTRIBUTE samples NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE ml NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE angiotensin NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE determination NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE structure NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE mutants NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE fluid NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE free NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE myotrophin NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE calmodulin NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE allergic NUMERIC
@ATTRIBUTE reaction NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE pkc NUMERIC
@ATTRIBUTE any NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE region NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE domain NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE tp NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE inhibition NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE ige NUMERIC
@ATTRIBUTE mutant NUMERIC
@ATTRIBUTE map NUMERIC
@ATTRIBUTE hepatitis NUMERIC
@ATTRIBUTE chain NUMERIC
@ATTRIBUTE adefovir NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE active NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE converting NUMERIC
@ATTRIBUTE cgrp NUMERIC
@ATTRIBUTE relationship NUMERIC
@ATTRIBUTE pylori NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE neonatal NUMERIC
@ATTRIBUTE surface NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE pas NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE selected NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE yeast NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE ng NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE peptide NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE gastric NUMERIC
@ATTRIBUTE difference NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE 2m NUMERIC
@ATTRIBUTE culture NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE comparison NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE v NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE iii NUMERIC
@ATTRIBUTE antigen NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE ca2 NUMERIC
@ATTRIBUTE combination NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE structural NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE 3ss NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE alleles NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE damage NUMERIC
@ATTRIBUTE elevated NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE assay NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE stage NUMERIC
@ATTRIBUTE antibody NUMERIC
@ATTRIBUTE structures NUMERIC
@ATTRIBUTE terminal NUMERIC
@ATTRIBUTE second NUMERIC
@ATTRIBUTE column NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE investigated NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE kinase NUMERIC
@ATTRIBUTE wild NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE residues NUMERIC
@ATTRIBUTE correlation NUMERIC
@ATTRIBUTE production NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE tsh NUMERIC
@ATTRIBUTE dental NUMERIC
@ATTRIBUTE cd23 NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE dp NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9279529
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9404992
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9436306
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9630847
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9560007
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9488652
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9492001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M2 % 9587250
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9475297
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9475757
