@RELATION implantation
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE implantation NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE stent NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE ivf NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE il NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE implant NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE implanted NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE device NUMERIC
@ATTRIBUTE embryo NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE months NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE iol NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE embryos NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE technique NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE follow NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE cycles NUMERIC
@ATTRIBUTE et NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE pregnancy NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE incision NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 1beta NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE surgical NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE success NUMERIC
@ATTRIBUTE pacemaker NUMERIC
@ATTRIBUTE implants NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE received NUMERIC
@ATTRIBUTE cochlear NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE stents NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE undergoing NUMERIC
@ATTRIBUTE vascular NUMERIC
@ATTRIBUTE chain NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE vivo NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE permanent NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE artery NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE stenosis NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE restenosis NUMERIC
@ATTRIBUTE cardiac NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE transfer NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE multiple NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE phacoemulsification NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE progesterone NUMERIC
@ATTRIBUTE hydrosalpinges NUMERIC
@ATTRIBUTE piece NUMERIC
@ATTRIBUTE effective NUMERIC
@ATTRIBUTE right NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE lead NUMERIC
@ATTRIBUTE pacing NUMERIC
@ATTRIBUTE implantable NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE weeks NUMERIC
@ATTRIBUTE local NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE 1alpha NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE rabbit NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE difference NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE probe NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE defect NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE complications NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE balloon NUMERIC
@ATTRIBUTE icd NUMERIC
@ATTRIBUTE administration NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE further NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE muc1 NUMERIC
@ATTRIBUTE developed NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE graft NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE underwent NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE trial NUMERIC
@ATTRIBUTE heifers NUMERIC
@ATTRIBUTE period NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE six NUMERIC
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE uterine NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE anterior NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE vf NUMERIC
@ATTRIBUTE guided NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE consecutive NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE resulted NUMERIC
@ATTRIBUTE lif NUMERIC
@ATTRIBUTE final NUMERIC
@ATTRIBUTE 48 NUMERIC
@ATTRIBUTE interleukin NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE mouse NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE cycle NUMERIC
@ATTRIBUTE short NUMERIC
@ATTRIBUTE occurred NUMERIC
@ATTRIBUTE lvad NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE loss NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE procedure NUMERIC
@ATTRIBUTE cadherin NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE series NUMERIC
@ATTRIBUTE included NUMERIC
@ATTRIBUTE evaluate NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE eyes NUMERIC
@ATTRIBUTE vaginal NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE heart NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE cabg NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE pulmonary NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE result NUMERIC
@ATTRIBUTE rr NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE foldable NUMERIC
@ATTRIBUTE report NUMERIC
@ATTRIBUTE lf NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE end NUMERIC
@ATTRIBUTE laminin NUMERIC
@ATTRIBUTE cardioverter NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE vein NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE efficacy NUMERIC
@ATTRIBUTE development NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE palmaz NUMERIC
@ATTRIBUTE micro NUMERIC
@ATTRIBUTE diameter NUMERIC
@ATTRIBUTE neuronal NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE demonstrate NUMERIC
@ATTRIBUTE ulv NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE intimal NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE infarction NUMERIC
@ATTRIBUTE pmma NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE via NUMERIC
@ATTRIBUTE oscillation NUMERIC
@ATTRIBUTE devices NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9423918
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9344537
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9395162
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9436569
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9671900
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9502281
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9524118
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9472560
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9456423
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9591897
