@RELATION japanese
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE japanese NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE mutations NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE mutation NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE exon NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE allele NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE amae NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE polymorphism NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE revealed NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE identified NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE carcinoma NUMERIC
@ATTRIBUTE obese NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE common NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE western NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE male NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE negative NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE family NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE repeat NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE codon NUMERIC
@ATTRIBUTE report NUMERIC
@ATTRIBUTE old NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE t NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE syndrome NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE aged NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE gastric NUMERIC
@ATTRIBUTE alleles NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE region NUMERIC
@ATTRIBUTE association NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE unrelated NUMERIC
@ATTRIBUTE relationship NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE months NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE detected NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE igfbp NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE valve NUMERIC
@ATTRIBUTE site NUMERIC
@ATTRIBUTE characteristics NUMERIC
@ATTRIBUTE genetic NUMERIC
@ATTRIBUTE many NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE distribution NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE core NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE diagnosed NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE cerebellar NUMERIC
@ATTRIBUTE hla NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE history NUMERIC
@ATTRIBUTE several NUMERIC
@ATTRIBUTE including NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE american NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE amino NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE japan NUMERIC
@ATTRIBUTE families NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE scale NUMERIC
@ATTRIBUTE precore NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE mitral NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE presented NUMERIC
@ATTRIBUTE seven NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE adenoma NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE hbv NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE flushing NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE involvement NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE female NUMERIC
@ATTRIBUTE igf NUMERIC
@ATTRIBUTE correlation NUMERIC
@ATTRIBUTE administration NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9388377
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M2 % 9349986
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9375462
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9535125
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9413874
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9347410
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9502209
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9439676
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9328929
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9412864
