@RELATION lead
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE lead NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE pb NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE samples NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE exposed NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE dust NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE cadmium NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE urine NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE male NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE micrograms NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE correlated NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE absorption NUMERIC
@ATTRIBUTE general NUMERIC
@ATTRIBUTE urinary NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9679339
1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9405326
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9347897
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9463958
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9339230
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9469866
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9339217
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9679336
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9543501
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9481927
