@RELATION man
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE man NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE old NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE his NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE report NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE ghrh NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE stage NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE he NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE fibers NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE history NUMERIC
@ATTRIBUTE gh NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE large NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE animals NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE abdominal NUMERIC
@ATTRIBUTE administration NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE pulmonary NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE cp NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE biopsy NUMERIC
@ATTRIBUTE pancreatic NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE cause NUMERIC
@ATTRIBUTE right NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE second NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE developed NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE initial NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE revealed NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE known NUMERIC
@ATTRIBUTE hepatic NUMERIC
@ATTRIBUTE ir NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE artery NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE hormone NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE presented NUMERIC
@ATTRIBUTE syndrome NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE tpn NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE lesion NUMERIC
@ATTRIBUTE caused NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE chest NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE even NUMERIC
@ATTRIBUTE oryzalin NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE ascites NUMERIC
@ATTRIBUTE sleep NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE public NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE virus NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE asthma NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE having NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9285795
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9323548
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9372829
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9438751
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9606651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9492565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9463545
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9408708
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9539398
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9441919
