@RELATION mole
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE mol NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE binding NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE membrane NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE formation NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE insulin NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE degrees NUMERIC
@ATTRIBUTE delta NUMERIC
@ATTRIBUTE dna NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE enzyme NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE peptide NUMERIC
@ATTRIBUTE free NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE cytochrome NUMERIC
@ATTRIBUTE kcal NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE kj NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE inhibition NUMERIC
@ATTRIBUTE vascular NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE glucose NUMERIC
@ATTRIBUTE isolated NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE lipid NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE rat NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE state NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE fluorescence NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE water NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE o NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE k NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE muscle NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE affinity NUMERIC
@ATTRIBUTE purified NUMERIC
@ATTRIBUTE temperature NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE endothelin NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE approximately NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE il NUMERIC
@ATTRIBUTE residues NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE dilation NUMERIC
@ATTRIBUTE aa NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE nmr NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE angiotensin NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE decrease NUMERIC
@ATTRIBUTE chain NUMERIC
@ATTRIBUTE mediated NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE ml NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE amino NUMERIC
@ATTRIBUTE helical NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE 60 NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE molecular NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE ang NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE proteins NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE atrial NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE calcium NUMERIC
@ATTRIBUTE mole NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE kinase NUMERIC
@ATTRIBUTE production NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE unfolding NUMERIC
@ATTRIBUTE bradykinin NUMERIC
@ATTRIBUTE anf NUMERIC
@ATTRIBUTE oxide NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE stability NUMERIC
@ATTRIBUTE m NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE reaction NUMERIC
@ATTRIBUTE bovine NUMERIC
@ATTRIBUTE p450 NUMERIC
@ATTRIBUTE shown NUMERIC
@ATTRIBUTE hb NUMERIC
@ATTRIBUTE denaturation NUMERIC
@ATTRIBUTE uptake NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE release NUMERIC
@ATTRIBUTE nitric NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE interactions NUMERIC
@ATTRIBUTE stable NUMERIC
@ATTRIBUTE interaction NUMERIC
@ATTRIBUTE activation NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE show NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE site NUMERIC
@ATTRIBUTE salt NUMERIC
@ATTRIBUTE et NUMERIC
@ATTRIBUTE change NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE native NUMERIC
@ATTRIBUTE hydrophobic NUMERIC
@ATTRIBUTE 90 NUMERIC
@ATTRIBUTE cultured NUMERIC
@ATTRIBUTE corresponding NUMERIC
@ATTRIBUTE dependence NUMERIC
@ATTRIBUTE gip NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE quenching NUMERIC
@ATTRIBUTE order NUMERIC
@ATTRIBUTE igf NUMERIC
@ATTRIBUTE mechanism NUMERIC
@ATTRIBUTE structure NUMERIC
@ATTRIBUTE phosphorylation NUMERIC
@ATTRIBUTE metabolites NUMERIC
@ATTRIBUTE ph NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE phase NUMERIC
@ATTRIBUTE transition NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE surface NUMERIC
@ATTRIBUTE modified NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE formed NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE affect NUMERIC
@ATTRIBUTE stimulated NUMERIC
@ATTRIBUTE constant NUMERIC
@ATTRIBUTE endothelium NUMERIC
@ATTRIBUTE absence NUMERIC
@ATTRIBUTE 564 NUMERIC
@ATTRIBUTE characterization NUMERIC
@ATTRIBUTE form NUMERIC
@ATTRIBUTE terminal NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE containing NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE position NUMERIC
@ATTRIBUTE nad NUMERIC
@ATTRIBUTE activated NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE does NUMERIC
@ATTRIBUTE apparent NUMERIC
@ATTRIBUTE ot NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE sodium NUMERIC
@ATTRIBUTE oxidation NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE like NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE inflammatory NUMERIC
@ATTRIBUTE intrinsic NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE revealed NUMERIC
@ATTRIBUTE internal NUMERIC
@ATTRIBUTE 3ss NUMERIC
@ATTRIBUTE ca2 NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE vivo NUMERIC
@ATTRIBUTE 81 NUMERIC
@ATTRIBUTE against NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE further NUMERIC
@ATTRIBUTE 3h NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE relaxation NUMERIC
@ATTRIBUTE folding NUMERIC
@ATTRIBUTE produce NUMERIC
@ATTRIBUTE half NUMERIC
@ATTRIBUTE ion NUMERIC
@ATTRIBUTE standard NUMERIC
@ATTRIBUTE va NUMERIC
@ATTRIBUTE derived NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE endothelial NUMERIC
@ATTRIBUTE canine NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE fold NUMERIC
@ATTRIBUTE indicating NUMERIC
@ATTRIBUTE active NUMERIC
@ATTRIBUTE phosphorylated NUMERIC
@ATTRIBUTE rolipram NUMERIC
@ATTRIBUTE inhibitor NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE gbc NUMERIC
@ATTRIBUTE mutants NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE stimulation NUMERIC
@ATTRIBUTE induction NUMERIC
@ATTRIBUTE hete NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE telokin NUMERIC
@ATTRIBUTE scanning NUMERIC
@ATTRIBUTE natriuretic NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9315295
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9405051
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9423160
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9593192
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9556133
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9605842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9485363
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9462643
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9480926
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9580082
