@RELATION nutrition
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE nutrition NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE nutritional NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE intake NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE food NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE dietary NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE insulin NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE vitamin NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE intervention NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE diet NUMERIC
@ATTRIBUTE status NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE fat NUMERIC
@ATTRIBUTE malnutrition NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE life NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE school NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE cholesterol NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE education NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE poor NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE research NUMERIC
@ATTRIBUTE assessment NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE odour NUMERIC
@ATTRIBUTE dialysis NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE maternal NUMERIC
@ATTRIBUTE mass NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE hiv NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE quality NUMERIC
@ATTRIBUTE care NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE milk NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE daily NUMERIC
@ATTRIBUTE see NUMERIC
@ATTRIBUTE toxic NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE what NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE being NUMERIC
@ATTRIBUTE consumption NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE received NUMERIC
@ATTRIBUTE prevalence NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE hpn NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE healthy NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE ml NUMERIC
@ATTRIBUTE ci NUMERIC
@ATTRIBUTE parenteral NUMERIC
@ATTRIBUTE failure NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE influence NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE period NUMERIC
@ATTRIBUTE will NUMERIC
@ATTRIBUTE loss NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE including NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE information NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE common NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE metabolic NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE birthweight NUMERIC
@ATTRIBUTE interventions NUMERIC
@ATTRIBUTE hormone NUMERIC
@ATTRIBUTE if NUMERIC
@ATTRIBUTE appropriate NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE assess NUMERIC
@ATTRIBUTE complications NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE plc NUMERIC
@ATTRIBUTE ethanol NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE enteral NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE given NUMERIC
@ATTRIBUTE photoperiod NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE would NUMERIC
@ATTRIBUTE females NUMERIC
@ATTRIBUTE males NUMERIC
@ATTRIBUTE preschool NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE prevention NUMERIC
@ATTRIBUTE major NUMERIC
@ATTRIBUTE degree NUMERIC
@ATTRIBUTE many NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9386225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9411966
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9425844
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M2 % 9578999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9529741
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9578242
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9455121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9508020
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M3 % 9451939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9481132
