@RELATION pathology
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE pathology NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE mice NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE t NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE development NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE diagnostic NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE immune NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE functional NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE il NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE surgical NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE possible NUMERIC
@ATTRIBUTE vascular NUMERIC
@ATTRIBUTE th1 NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE transgenic NUMERIC
@ATTRIBUTE p40 NUMERIC
@ATTRIBUTE injury NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE delta NUMERIC
@ATTRIBUTE squamous NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE tgf NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE initial NUMERIC
@ATTRIBUTE invasive NUMERIC
@ATTRIBUTE infections NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE months NUMERIC
@ATTRIBUTE ifn NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE six NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE cancers NUMERIC
@ATTRIBUTE gamma NUMERIC
@ATTRIBUTE imaging NUMERIC
@ATTRIBUTE experimental NUMERIC
@ATTRIBUTE seen NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE biopsy NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE aortic NUMERIC
@ATTRIBUTE animals NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE ldl NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE vivo NUMERIC
@ATTRIBUTE pathological NUMERIC
@ATTRIBUTE elderly NUMERIC
@ATTRIBUTE large NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE mouse NUMERIC
@ATTRIBUTE classification NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE features NUMERIC
@ATTRIBUTE intubation NUMERIC
@ATTRIBUTE evaluate NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE loss NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE techniques NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE amyloid NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE social NUMERIC
@ATTRIBUTE production NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE hospital NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE several NUMERIC
@ATTRIBUTE correlated NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE lesion NUMERIC
@ATTRIBUTE oxide NUMERIC
@ATTRIBUTE duct NUMERIC
@ATTRIBUTE repair NUMERIC
@ATTRIBUTE autoimmune NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE lines NUMERIC
@ATTRIBUTE matrix NUMERIC
@ATTRIBUTE syndrome NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE pattern NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE severe NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE clinically NUMERIC
@ATTRIBUTE care NUMERIC
@ATTRIBUTE central NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE contrast NUMERIC
@ATTRIBUTE intraepithelial NUMERIC
@ATTRIBUTE combination NUMERIC
@ATTRIBUTE mrl NUMERIC
@ATTRIBUTE allograft NUMERIC
@ATTRIBUTE average NUMERIC
@ATTRIBUTE models NUMERIC
@ATTRIBUTE malignant NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE sentinel NUMERIC
@ATTRIBUTE complications NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE spinal NUMERIC
@ATTRIBUTE recovery NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE mab NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE show NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE opportunistic NUMERIC
@ATTRIBUTE including NUMERIC
@ATTRIBUTE identified NUMERIC
@ATTRIBUTE post NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE out NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE di NUMERIC
@ATTRIBUTE bifocal NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE relationship NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE according NUMERIC
@ATTRIBUTE prosthetic NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE ct NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE research NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE suis NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE paresis NUMERIC
@ATTRIBUTE extracellular NUMERIC
@ATTRIBUTE cerebral NUMERIC
@ATTRIBUTE pcr NUMERIC
@ATTRIBUTE node NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE status NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9401928
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9377367
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9410081
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9396180
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9598470
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9531126
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M1 % 9542924
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9461147
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M2 % 9451461
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9547334
