@RELATION scale
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE scale NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE social NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE scores NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE assessment NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE assessed NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE correlation NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE negative NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE validity NUMERIC
@ATTRIBUTE retinopathy NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE visual NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE anxiety NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE correlated NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE abuse NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE self NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE scales NUMERIC
@ATTRIBUTE medical NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE measure NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE least NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE if NUMERIC
@ATTRIBUTE peak NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE measuring NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE mental NUMERIC
@ATTRIBUTE improvement NUMERIC
@ATTRIBUTE completed NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE assess NUMERIC
@ATTRIBUTE change NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE noise NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE hhie NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE depression NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE students NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE aids NUMERIC
@ATTRIBUTE amitriptyline NUMERIC
@ATTRIBUTE modified NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE behaviors NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE instrument NUMERIC
@ATTRIBUTE epidural NUMERIC
@ATTRIBUTE internal NUMERIC
@ATTRIBUTE symptoms NUMERIC
@ATTRIBUTE status NUMERIC
@ATTRIBUTE comparison NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE family NUMERIC
@ATTRIBUTE sample NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE iii NUMERIC
@ATTRIBUTE quantitative NUMERIC
@ATTRIBUTE relatives NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE daily NUMERIC
@ATTRIBUTE australian NUMERIC
@ATTRIBUTE measures NUMERIC
@ATTRIBUTE peer NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE individual NUMERIC
@ATTRIBUTE drinking NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE lr NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE research NUMERIC
@ATTRIBUTE evaluated NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE hcv NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9420353
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9352452
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9430812
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9426779
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9535312
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9520545
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9469561
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9437349
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9469629
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9475799
