@RELATION transport
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE transport NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE uptake NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE membrane NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE na NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE inhibited NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE ca NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE intestinal NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE sodium NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE proteins NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE transporter NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE taurine NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE approximately NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE vesicles NUMERIC
@ATTRIBUTE mediated NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE bile NUMERIC
@ATTRIBUTE binding NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE glutamate NUMERIC
@ATTRIBUTE nuclear NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE across NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE regulation NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE affinity NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE involved NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE amino NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE apical NUMERIC
@ATTRIBUTE atp NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE surface NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE acids NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE permeability NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE mechanism NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE m NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE isolated NUMERIC
@ATTRIBUTE concentration NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE k NUMERIC
@ATTRIBUTE rats NUMERIC
@ATTRIBUTE mechanisms NUMERIC
@ATTRIBUTE glutamine NUMERIC
@ATTRIBUTE canalicular NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE algk NUMERIC
@ATTRIBUTE density NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE cellular NUMERIC
@ATTRIBUTE epithelial NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE atpase NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE arginine NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE level NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE decrease NUMERIC
@ATTRIBUTE hco3 NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE carnitine NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE intracellular NUMERIC
@ATTRIBUTE chloride NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE caused NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE adenosine NUMERIC
@ATTRIBUTE shown NUMERIC
@ATTRIBUTE functional NUMERIC
@ATTRIBUTE neurons NUMERIC
@ATTRIBUTE metabolism NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE stimulation NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE capacity NUMERIC
@ATTRIBUTE component NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE sensitive NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE cleavage NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE kinetics NUMERIC
@ATTRIBUTE drugs NUMERIC
@ATTRIBUTE fatty NUMERIC
@ATTRIBUTE stimulated NUMERIC
@ATTRIBUTE glt NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE fa NUMERIC
@ATTRIBUTE resistance NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE water NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE glucose NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE nls NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE escherichia NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE absorption NUMERIC
@ATTRIBUTE glutathione NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE channel NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE extracellular NUMERIC
@ATTRIBUTE enzyme NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE transported NUMERIC
@ATTRIBUTE npy NUMERIC
@ATTRIBUTE inhibition NUMERIC
@ATTRIBUTE nm NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE lysine NUMERIC
@ATTRIBUTE several NUMERIC
@ATTRIBUTE membranes NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE active NUMERIC
@ATTRIBUTE grown NUMERIC
@ATTRIBUTE vmax NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE kinetic NUMERIC
@ATTRIBUTE addition NUMERIC
@ATTRIBUTE molecular NUMERIC
@ATTRIBUTE organic NUMERIC
@ATTRIBUTE secretion NUMERIC
@ATTRIBUTE muscle NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE thiamine NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE ph NUMERIC
@ATTRIBUTE increases NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE carrier NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE chemical NUMERIC
@ATTRIBUTE 3h NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE signal NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE experimental NUMERIC
@ATTRIBUTE fold NUMERIC
@ATTRIBUTE mutant NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE known NUMERIC
@ATTRIBUTE via NUMERIC
@ATTRIBUTE against NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE mrp NUMERIC
@ATTRIBUTE rat NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE pla NUMERIC
@ATTRIBUTE peptide NUMERIC
@ATTRIBUTE derived NUMERIC
@ATTRIBUTE yeast NUMERIC
@ATTRIBUTE ca2 NUMERIC
@ATTRIBUTE accumulation NUMERIC
@ATTRIBUTE essential NUMERIC
@ATTRIBUTE examined NUMERIC
@ATTRIBUTE antibodies NUMERIC
@ATTRIBUTE mhc NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE systems NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE cyclic NUMERIC
@ATTRIBUTE various NUMERIC
@ATTRIBUTE phi NUMERIC
@ATTRIBUTE suggesting NUMERIC
@ATTRIBUTE independent NUMERIC
@ATTRIBUTE responsible NUMERIC
@ATTRIBUTE region NUMERIC
@ATTRIBUTE lipoprotein NUMERIC
@ATTRIBUTE inhibitor NUMERIC
@ATTRIBUTE large NUMERIC
@ATTRIBUTE inhibitors NUMERIC
@ATTRIBUTE fusion NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE demonstrated NUMERIC
@ATTRIBUTE aspartate NUMERIC
@ATTRIBUTE required NUMERIC
@ATTRIBUTE investigated NUMERIC
@ATTRIBUTE properties NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE lactate NUMERIC
@ATTRIBUTE basolateral NUMERIC
@ATTRIBUTE out NUMERIC
@ATTRIBUTE km NUMERIC
@ATTRIBUTE glc NUMERIC
@ATTRIBUTE fetal NUMERIC
@ATTRIBUTE vivo NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE anion NUMERIC
@ATTRIBUTE ion NUMERIC
@ATTRIBUTE o2 NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE processes NUMERIC
@ATTRIBUTE nicotine NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE influx NUMERIC
@ATTRIBUTE colon NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE virus NUMERIC
@ATTRIBUTE cyst NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE plant NUMERIC
@ATTRIBUTE caco NUMERIC
@ATTRIBUTE presentation NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE mannitol NUMERIC
@ATTRIBUTE placental NUMERIC
@ATTRIBUTE glast NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE apolipoprotein NUMERIC
@ATTRIBUTE complex NUMERIC
@ATTRIBUTE state NUMERIC
@ATTRIBUTE indicate NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE aldosterone NUMERIC
@ATTRIBUTE plb NUMERIC
@ATTRIBUTE fed NUMERIC
@ATTRIBUTE synthesized NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE ipm NUMERIC
@ATTRIBUTE down NUMERIC
@ATTRIBUTE malate NUMERIC
@ATTRIBUTE many NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9357011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9350034
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9458726
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9607946
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9523983
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9548581
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9450336
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9458833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9568480
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9435271
