@RELATION weight
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE micrograms NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE don NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE infants NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE rats NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE temperature NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE change NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE months NUMERIC
@ATTRIBUTE degrees NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE fat NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE intake NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE week NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE postoperative NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE l NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE heart NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE fatty NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE old NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE hypertension NUMERIC
@ATTRIBUTE food NUMERIC
@ATTRIBUTE containing NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE wt NUMERIC
@ATTRIBUTE diarrhoea NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE salt NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE dogs NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE mothers NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9432474
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9502273
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9435193
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9473879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9444901
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9486406
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9655152
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9483306
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9425844
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9356864
