@RELATION white
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE white NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE black NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE female NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE african NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE muscle NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE prevalence NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE back NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE men NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE american NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE ethnic NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE association NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE older NUMERIC
@ATTRIBUTE hispanic NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE screening NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE medical NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE color NUMERIC
@ATTRIBUTE aged NUMERIC
@ATTRIBUTE males NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE examination NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE density NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE lesions NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE hdl NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE prostate NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE fat NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE oral NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE racial NUMERIC
@ATTRIBUTE likely NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE hospital NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE mammography NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE weeks NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE artery NUMERIC
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE part NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE faecal NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE sexual NUMERIC
@ATTRIBUTE race NUMERIC
@ATTRIBUTE glycogen NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE revealed NUMERIC
@ATTRIBUTE vertebral NUMERIC
@ATTRIBUTE concentrations NUMERIC
@ATTRIBUTE birth NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE male NUMERIC
@ATTRIBUTE influence NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE cholesterol NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE students NUMERIC
@ATTRIBUTE smoking NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE lipoprotein NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE hypertension NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE large NUMERIC
@ATTRIBUTE sex NUMERIC
@ATTRIBUTE red NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE difference NUMERIC
@ATTRIBUTE odds NUMERIC
@ATTRIBUTE young NUMERIC
@ATTRIBUTE change NUMERIC
@ATTRIBUTE females NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE collar NUMERIC
@ATTRIBUTE genetic NUMERIC
@ATTRIBUTE stage NUMERIC
@ATTRIBUTE t NUMERIC
@ATTRIBUTE coat NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE evaluate NUMERIC
@ATTRIBUTE v NUMERIC
@ATTRIBUTE ci NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE carotid NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE sample NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE models NUMERIC
@ATTRIBUTE fractures NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE alcohol NUMERIC
@ATTRIBUTE adipose NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE care NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE cerebral NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE pink NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE allele NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE us NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE m1 NUMERIC
@ATTRIBUTE point NUMERIC
@ATTRIBUTE five NUMERIC
@ATTRIBUTE indian NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE analyses NUMERIC
@ATTRIBUTE grade NUMERIC
@ATTRIBUTE nitric NUMERIC
@ATTRIBUTE severe NUMERIC
@ATTRIBUTE fracture NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE hip NUMERIC
@ATTRIBUTE identified NUMERIC
@ATTRIBUTE taq NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE predictors NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE gender NUMERIC
@ATTRIBUTE symptoms NUMERIC
@ATTRIBUTE right NUMERIC
@ATTRIBUTE adult NUMERIC
@ATTRIBUTE boys NUMERIC
@ATTRIBUTE urban NUMERIC
@ATTRIBUTE 65 NUMERIC
@ATTRIBUTE childhood NUMERIC
@ATTRIBUTE diabetes NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9353608
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9330555
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9374979
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9456605
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9625088
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9535150
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9596233
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9425118
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9459261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9595028
